,tc,a_50,k_50
0,0.08,447.0,0.0019283835693831852
1,0.08166666666666667,448.0,0.0019205017633577848
2,0.08166666666666667,449.0,0.0019124456541059764
3,0.08166666666666667,450.0,0.0019117164415470844
4,0.08166666666666667,451.0,0.001930266935556535
5,0.08166666666666667,452.0,0.0019488825953059008
6,0.08166666666666667,453.0,0.001967586578894731
7,0.08166666666666667,454.0,0.001986389303152425
8,0.08166666666666667,455.0,0.0020052902904288405
9,0.08166666666666667,456.0,0.0020242815362293554
10,0.08166666666666667,457.0,0.002043350880123862
11,0.08166666666666667,458.0,0.002062484674794973
12,0.08,459.0,0.0020816695697547516
13,0.08166666666666667,460.0,0.002100893504374257
14,0.08166666666666667,461.0,0.0018059368219113248
15,0.08333333333333333,462.0,0.001552713107287551
16,0.08333333333333333,463.0,0.0013572073445001775
17,0.08333333333333333,464.0,0.0011691458543819921
18,0.08333333333333333,465.0,0.0008552667258004965
19,0.08333333333333333,466.0,0.0007479473823568394
20,0.08333333333333333,467.0,0.0008591784600400221
21,0.08333333333333333,468.0,0.0009464589577051763
22,0.085,469.0,0.001010804943857413
23,0.085,470.0,0.0010014617994806851
24,0.085,471.0,0.0009839854884483579
25,0.085,472.0,0.0009896416775773131
26,0.085,473.0,0.0010021980900809524
27,0.085,474.0,0.001006444649370164
28,0.085,475.0,0.0009988631846762352
29,0.085,476.0,0.0010594079830150704
30,0.085,477.0,0.0010406285253909964
31,0.085,478.0,0.0010194086216315235
32,0.085,479.0,0.0009960133606292665
33,0.08666666666666667,480.0,0.0009705818819949474
34,0.08666666666666667,481.0,0.0009432057502414271
35,0.08666666666666667,482.0,0.0009061085732737784
36,0.08666666666666667,483.0,0.000849500338139908
37,0.08666666666666667,484.0,0.000792046561978732
38,0.08833333333333333,485.0,0.0007335131001999784
39,0.08833333333333333,486.0,0.0006736617118690003
40,0.08833333333333333,487.0,0.0006396926711660367
41,0.09,488.0,0.0006891869753764546
42,0.09,489.0,0.0007717377451168517
43,0.09,490.0,0.0008427975103584284
44,0.09,491.0,0.000918181930038009
45,0.09,492.0,0.000985685098782385
46,0.09,493.0,0.0010511491106440785
47,0.09,494.0,0.0011224232762303554
48,0.09,495.0,0.0011943003469626623
49,0.09,496.0,0.0012666785952507587
50,0.09,497.0,0.0013394969895547115
51,0.09,498.0,0.0014127188258765688
52,0.09,499.0,0.0014863203743773479
53,0.09,500.0,0.001560284247893562
54,0.09,501.0,0.0015888426483056106
55,0.09,502.0,0.0015910756135992798
56,0.09,503.0,0.0015687984652557052
57,0.09,504.0,0.0015459554901506856
58,0.09,505.0,0.001522546969503491
59,0.09,506.0,0.0014985735029027225
60,0.09,507.0,0.00147403589863504
61,0.09,508.0,0.0015076946361427535
62,0.09,509.0,0.0015089752520424105
63,0.09166666666666666,510.0,0.0014848030288158176
64,0.09166666666666666,511.0,0.0014677264615317043
65,0.09166666666666666,512.0,0.001541245252810075
66,0.09166666666666666,513.0,0.0016204037937657123
